,bookID,title,authors,average_rating,isbn13,num_pages,ratings_count,Genre
0,1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling-Mary GrandPré,4.56,9780439785969,652,1944099,Juvenile Fiction
1,2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling-Mary GrandPré,4.49,9780439358071,870,1996446,Juvenile Fiction
2,3,Harry Potter and the Sorcerer's Stone (Harry Potter  #1),J.K. Rowling-Mary GrandPré,4.47,9780439554930,320,5629932,Juvenile Fiction
3,4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.41,9780439554893,352,6267,Juvenile Fiction
4,5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling-Mary GrandPré,4.55,9780439655484,435,2149872,Juvenile Fiction
5,8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling-Mary GrandPré,4.78,9780439682589,2690,38872,Juvenile Fiction
6,9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.69,9780976540601,152,18,Fiction
7,10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,9780439827607,3342,27410,Juvenile Fiction
8,12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,9780517226957,815,3602,Fiction
9,13,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.38,9780345453747,815,240189,Fiction
10,14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,9781400052929,215,4416,Fiction
11,16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams-Stephen Fry,4.22,9780739322208,6,1222,Others
12,18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5),Douglas Adams,4.38,9780517149256,815,2801,Fiction
13,21,A Short History of Nearly Everything,Bill Bryson-William Roberts,4.2,9780767908184,544,228522,Science
14,22,Bill Bryson's African Diary,Bill Bryson,3.43,9780767915069,55,6993,Biography & Autobiography
15,23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.88,9780767910439,256,2020,Language Arts & Disciplines
16,24,In a Sunburned Country,Bill Bryson,4.07,9780767903868,335,68213,True Crime
17,25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,9780767903820,304,47490,Biography & Autobiography
18,26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,9780060920081,299,43779,Travel
19,27,Neither Here nor There: Travels in Europe,Bill Bryson,3.87,9780380713806,254,46397,Travel
20,28,Notes from a Small Island,Bill Bryson,3.92,9780380727506,324,76476,Travel
21,29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.94,9780380715435,270,26672,Language Arts & Disciplines
22,30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,9780345538376,1728,97731,Fiction
23,31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,9780618517657,1184,1670,Fiction
24,32,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,9780618346240,1137,2819,Others
25,34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.35,9780618346257,398,2009749,Fiction
26,35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien-Alan  Lee,4.49,9780618260584,1216,1606,Fiction
27,36,The Lord of the Rings: Weapons and Warfare,Chris   Smith-Christopher  Lee-Richard Taylor,4.53,9780618391004,218,18934,Literary Criticism
28,37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,9780618510825,224,343,Fiction
29,38,The Lord of the Rings Box Set,J.R.R. Tolkien,4.49,9780618153978,1223,216,Fiction
30,40,Cooking with Fernet Branca (Gerald Samper  #1),James Hamilton-Paterson,3.61,9781933372013,288,1214,Fiction
31,45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas-David Heinemeier Hansson-Leon Breedt-Mike Clark-Thomas  Fuchs-Andreas  Schwarz,3.89,9780976694007,558,1269,Computers
32,50,Hatchet,Gary Paulsen,3.7,9780689840920,208,254827,Juvenile Fiction
33,51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes-Edward Sciranko-Keith Vasconcelles,3.97,9781557344496,48,35,Education
34,53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.87,9780385326506,144,1996,"Authors, American"
35,54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,9781575606248,56,6,Others
36,55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.48,9781595580276,228,99,Literary Criticism
37,57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight-Sahara Kelly-Judy Mays-Marteeka Karland-Kate Douglas-Shelby Morgen-Lacey Savage-Kate Hill-Willa Okati,3.75,9781595962805,304,167,Fiction
38,58,Changeling (Changeling  #1),Delia Sherman,3.6,9780670059676,256,957,Juvenile Fiction
39,59,The Changeling Sea,Patricia A. McKillip,4.07,9780141312620,137,4319,Juvenile Fiction
40,61,The Changeling,Zilpha Keatley Snyder,4.17,9780595321803,228,1155,Juvenile Fiction
41,63,The Changeling,Kate Horsley,3.56,9781590301944,339,295,Fiction
42,66,The Changeling (Daughters of England  #15),Philippa Carr,3.99,9780449146972,369,341,Fiction
43,67,The Known World,Edward P. Jones,3.83,9780061159176,388,28962,Fiction
44,68,The Known World,Edward P. Jones-Kevin R. Free,3.83,9780060762735,14,50,Others
45,69,The Known World,Edward P. Jones,3.83,9780060749910,576,22,Fiction
46,71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,9780273704744,334,1398,Business & Economics
47,72,Artesia: Adventures in the Known World,Mark Smylie,4.16,9781932386103,352,50,Others
48,73,The Known World,Edward P. Jones,3.83,9780965136716,388,15,African American plantation owners
49,74,The John McPhee Reader (John McPhee Reader  #1),John McPhee-William Howarth,4.43,9780374517199,416,550,Others
50,75,Uncommon Carriers,John McPhee,3.95,9780374280390,248,1561,Literary Collections
51,76,Heirs of General Practice,John McPhee,4.15,9780374519742,128,253,Biography & Autobiography
52,77,The Control of Nature,John McPhee,4.24,9780374522599,288,3365,Nature
53,78,Annals of the Former World,John McPhee,4.33,9780374518738,720,2966,Others
54,79,Coming Into the Country,John McPhee,4.22,9780374522872,448,5452,Nature
55,80,La Place de la Concorde Suisse,John McPhee,3.91,9780374519322,160,671,Others
56,81,Giving Good Weight,John McPhee,4.22,9780374516000,288,533,Literary Collections
57,83,Rising from the Plains,John McPhee,4.22,9780374520656,208,1263,Nature
58,85,The Heidi Chronicles,Wendy Wasserstein,3.73,9780822205104,81,1348,Literary Criticism
59,86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.83,9780679734994,249,2732,Drama
60,89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,9781596670235,138,31,Education
61,90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.75,9781581807745,128,61,Crafts & Hobbies
62,91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker-Rolland Baker,4.45,9780800793616,192,822,Religion
63,92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.7,9780871202864,72,71,Education
64,93,Heidi,Johanna Spyri-Beverly Cleary-Angelo  Rinaldi,3.98,9780753454947,352,150657,Others
65,94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.28,9780871209993,192,53,Education
66,96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker-Heidi Baker,4.45,9781852402877,192,34,Church work with the poor
67,98,What to Expect the First Year (What to Expect),Heidi Murkoff-Sharon Mazel-Heidi Murkoff-Arlene Eisenberg-Sandee Hathaway-Mark D. Widome,3.88,9780761129585,832,11489,Family & Relationships
68,99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss-Libby Keatinge,3.82,9780972016414,123,34,Family & Relationships
69,100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.75,9781581805635,128,75,Crafts & Hobbies
70,103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.83,9780441294671,423,2692,Others
71,105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.9,9780441102679,436,38651,Fiction
72,106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.87,9780441172696,331,96649,Fiction
